PDGC	Treatment	dead_Freq	CD44-CD133-	CD44+	CD133+	CD44+CD133+
MU035	dmso	2.26	15.8	48.5	4.65	31.1
MU020	dmso	3.74	47	26.6	10.2	16.2
MU020	tmz	5.02	43.1	35.6	4.34	17
MU020	rad	7.68	51	34.7	3.89	10.3
MU020	stupp	8.84	55.1	24.2	4.59	16
MU035	tmz	4.85	20.7	49.2	2.59	27.4
MU035	rad	5.07	17.7	63.4	1.08	17.8
MU035	stupp	8.23	24	62.5	0.71	12.7
MU039	dmso	1.77	23.1	72.5	2.2	2.2
MU039	tmz	2.3	22.5	74.4	0.99	2.19
MU039	rad	2.38	24.4	74.5	0.4	0.61
MU039	stupp	2.83	23.9	74	0.65	1.45
MU004	dmso	2.46	33.8	0	63.9	2.28
MU004	tmz	27.2	28.6	0.42	44.8	26.2
MU004	rad	5.18	27.8	0.19	60.2	11.8
MU004	stupp	30.3	38.6	0.61	44.3	16.5
