PDGC	Treatment	deadCount	CD44-CD133-	CD44+	CD133+	CD44+CD133+
MU035	dmso	495	78	240	23	154
MU020	dmso	930	437	247	95	151
MU020	tmz	922	397	328	40	157
MU020	rad	1054	538	366	41	109
MU020	stupp	2394	1320	580	110	384
MU035	tmz	1119	232	551	29	307
MU035	rad	1291	229	818	14	230
MU035	stupp	2252	541	1408	16	287
MU039	dmso	364	84	264	8	8
MU039	tmz	503	113	374	5	11
MU039	rad	495	121	369	2	3
MU039	stupp	619	148	458	4	9
MU004	dmso	527	178	0	337	12
MU004	tmz	8799	2516	37	3939	2307
MU004	rad	1049	292	2	631	124
MU004	stupp	4906	1894	30	2174	808
