PDGC	Subpopulation	Fraction	FreqOfParent	G1	G2	S
MU035	CD44-/CD133-	Q4	4.56	76.5	3.4	11.4
MU035	CD44+/CD133-	Q1	41.8	86.9	4.02	6.87
MU035	CD44-/CD133+	Q3	12.8	71.7	8.86	16.1
MU035	CD44+/CD133+	Q2	40.8	82.4	6.06	11.3
MU020	CD44-/CD133-	Q4	24.6	73.2	4.23	11
MU020	CD44+/CD133-	Q1	18.5	83.9	3.09	8.15
MU020	CD44-/CD133+	Q3	34.7	76	9.6	12.9
MU020	CD44+/CD133+	Q2	22.2	75.1	9.28	13.5
MU039	CD44-/CD133-	Q4	8.65	71.7	9.52	12.6
MU039	CD44+/CD133-	Q1	80.4	83.5	3.07	8.12
MU039	CD44-/CD133+	Q3	8.53	60	16.4	17.8
MU039	CD44+/CD133+	Q2	2.45	48.8	21.5	12
MU004	CD44-/CD133-	Q4	8.37	84.5	4.41	7.96
MU004	CD44+/CD133-	Q1	0.063	NA	NA	NA
MU004	CD44-/CD133+	Q3	89.8	80.5	6.95	13.3
MU004	CD44+/CD133+	Q2	1.79	74.8	6.23	11.9
