Sample	G1_freq	S_freq	G2_freq	G1_count	S_count	G2_count
150302_stupp_MU035_dmso.fcs	84.6	8.19	4.89	17502	1693	1011
150302_stupp_MU020_dmso.fcs	73.7	11.2	9.04	16538	2524	2030
150302_stupp_MU020_tmz.fcs	74.8	12	9.22	12474	1999	1539
150302_stupp_MU020_rad.fcs	57.1	14	18.7	6829	1677	2242
150302_stupp_MU020_stupp.fcs	56.3	14.4	20.3	13255	3386	4775
150302_stupp_MU035_tmz.fcs	66.9	15.6	12.2	13794	3215	2518
150302_stupp_MU035_rad.fcs	60.1	15.1	13.4	12936	3258	2887
150302_stupp_MU035_stupp.fcs	54.1	16.7	17.3	11735	3619	3752
150302_stupp_MU039_dmso.fcs	81.3	6.95	8.07	15785	1349	1567
150302_stupp_MU039_tmz.fcs	48.2	8.23	33.3	8379	1430	5789
150302_stupp_MU039_rad.fcs	70.7	7.12	12.9	13312	1340	2420
150302_stupp_MU039_stupp.fcs	52.4	8.41	27.1	9110	1462	4717
150302_stupp_MU004_tmz.fcs	66.2	8.99	8.91	13969	1898	1880
150302_stupp_MU004_rad.fcs	73.7	9.58	10.7	14164	1840	2057
150302_stupp_MU004_stupp.fcs	52.4	14.1	15.9	5353	1437	1628
150302_stupp_MU004_dmso_002.fcs	73.7	10.3	6.49	15437	2165	1361
