Sample,PDGC,Treatment,DeadCells,NotDebris,ViableCells
150302_stupp_MU004_dmso_002.fcs,MU004,dmso,4.65,73.7,95
150302_stupp_MU004_rad.fcs,MU004,rad,11.4,63.5,87.8
150302_stupp_MU004_stupp.fcs,MU004,stupp,35.3,31.5,63
150302_stupp_MU004_tmz.fcs,MU004,tmz,36.6,33,61.5
150302_stupp_MU020_dmso.fcs,MU020,dmso,4.53,51.4,94.1
150302_stupp_MU020_rad.fcs,MU020,rad,7.04,47.9,90
150302_stupp_MU020_stupp.fcs,MU020,stupp,7.48,43.3,90
150302_stupp_MU020_tmz.fcs,MU020,tmz,5.77,48.2,92.8
150302_stupp_MU035_dmso.fcs,MU035,dmso,2.27,64.9,95.5
150302_stupp_MU035_rad.fcs,MU035,rad,4.25,48.9,91.9
150302_stupp_MU035_stupp.fcs,MU035,stupp,5.52,43.1,90.8
150302_stupp_MU035_tmz.fcs,MU035,tmz,3.96,55.5,92.8
150302_stupp_MU039_dmso.fcs,MU039,dmso,2.78,67.4,97
150302_stupp_MU039_rad.fcs,MU039,rad,3.21,55.5,96.6
150302_stupp_MU039_stupp.fcs,MU039,stupp,3.89,57.5,95.8
150302_stupp_MU039_tmz.fcs,MU039,tmz,3.64,66.3,96
