Pos	cDNA	Gene	Name	Cp	Status	Well
A1	MU035_DN	CD44	MU035_DNCD44	28.19		A1
A2	MU035_DN	CD44	MU035_DNCD44	28.11		A2
A3	MU035_DN	GAPDH	MU035_DNGAPDH	18.93		A3
A4	MU035_DN	GAPDH	MU035_DNGAPDH	18.9		A4
A5	MU035_DN	OLIG2	MU035_DNOLIG2	28.32		A5
A6	MU035_DN	OLIG2	MU035_DNOLIG2	28.78		A6
A7	MU035_DN	POU5F1	MU035_DNPOU5F1	28.03		A7
A8	MU035_DN	POU5F1	MU035_DNPOU5F1	27.29	? - Detector Call uncertain	A8
A9	MU035_DN	PROM1	MU035_DNPROM1	26.13		A9
A10	MU035_DN	PROM1	MU035_DNPROM1	26.08		A10
A11	MU035_DN	SOX2	MU035_DNSOX2	20.94		A11
A12	MU035_DN	SOX2	MU035_DNSOX2	20.85		A12
A13	MU035_DN	TUBB3	MU035_DNTUBB3	32.41		A13
A14	MU035_DN	TUBB3	MU035_DNTUBB3	32.28		A14
A15	MU035_DN	VIM	MU035_DNVIM	19.44		A15
A16	MU035_DN	VIM	MU035_DNVIM	19.48		A16
A17	MU039_neg	BIIITUB	MU039_negBIIITUB	33.34		A17
A18	MU039_neg	GAPDH	MU039_negGAPDH	18.87		A18
A19	MU039_neg	GFAP	MU039_negGFAP	30.7		A19
A20	MU039_neg	NES	MU039_negNES	27.48		A20
A21	MU039_neg	OLIG2	MU039_negOLIG2	34.33		A21
A22	MU039_neg	POU5F1	MU039_negPOU5F1	25.98		A22
A23	MU039_neg	PROM1	MU039_negPROM1	27.85		A23
A24	MU039_neg	SOX2	MU039_negSOX2	25.02		A24
B1	MU035_44	CD44	MU035_44CD44	25.77		B1
B2	MU035_44	CD44	MU035_44CD44	25.87		B2
B3	MU035_44	GAPDH	MU035_44GAPDH	17.99		B3
B4	MU035_44	GAPDH	MU035_44GAPDH	18.06		B4
B5	MU035_44	OLIG2	MU035_44OLIG2	28.67		B5
B6	MU035_44	OLIG2	MU035_44OLIG2	28.66		B6
B7	MU035_44	POU5F1	MU035_44POU5F1	27.76		B7
B8	MU035_44	POU5F1	MU035_44POU5F1	27.29		B8
B9	MU035_44	PROM1	MU035_44PROM1	28.28		B9
B10	MU035_44	PROM1	MU035_44PROM1	28.82		B10
B11	MU035_44	SOX2	MU035_44SOX2	20.11		B11
B12	MU035_44	SOX2	MU035_44SOX2	20.08		B12
B13	MU035_44	TUBB3	MU035_44TUBB3	30.21		B13
B14	MU035_44	TUBB3	MU035_44TUBB3	30.15		B14
B15	MU035_44	VIM	MU035_44VIM	17.68		B15
B16	MU035_44	VIM	MU035_44VIM	17.72		B16
B17	MU039_neg	BIIITUB	MU039_negBIIITUB	32.52		B17
B18	MU039_neg	GAPDH	MU039_negGAPDH	18.97		B18
