"cDNA","Gene","rep1","rep2","meanCp","sdCp","reps"
"H9_NSC","BIIITUB",32.26,33.18,32.72,0.650538238691625,2
"H9_NSC","GAPDH",18.05,18.09,18.07,0.0282842712474613,2
"H9_NSC","GFAP",32.92,33.01,32.965,0.0636396103067867,2
"H9_NSC","NES",28.04,28.09,28.065,0.0353553390593279,2
"H9_NSC","OLIG2",40,40,40,0,2
"H9_NSC","POU5F1",24.77,24.43,24.6,0.240416305603426,2
"H9_NSC","PROM1",25.21,24.92,25.065,0.205060966544098,2
"H9_NSC","SOX2",24.26,24.42,24.34,0.113137084989848,2
"MU020_133","CD44",23.47,23.49,23.48,0.0141421356237306,2
"MU020_133","GAPDH",17.73,17.71,17.72,0.0141421356237306,2
"MU020_133","OLIG2",31.14,31.14,31.14,0,2
"MU020_133","PROM1",30.21,NA,30.21,NA,2
"MU020_44","CD44",28.82,28.77,28.795,0.0353553390593279,2
"MU020_44","GAPDH",24.77,24.94,24.855,0.120208152801714,2
"MU020_44","OLIG2",32.92,32.01,32.465,0.643467170879761,2
"MU020_44","PROM1",21.84,21.82,21.83,0.0141421356237306,2
"MU020_DN","CD44",23.88,23.91,23.895,0.0212132034355972,2
"MU020_DN","GAPDH",19.66,19.65,19.655,0.00707106781186658,2
"MU020_DN","OLIG2",33.74,33.68,33.71,0.0424264068711945,2
"MU020_DN","PROM1",23.75,NA,23.75,NA,2
"MU020_DP","CD44",28.78,29.55,29.165,0.544472221513641,2
"MU020_DP","GAPDH",25.97,26.13,26.05,0.113137084989848,2
"MU020_DP","OLIG2",40,40,40,0,2
"MU020_DP","PROM1",25.76,25.74,25.75,0.0141421356237332,2
"MU035_133","CD44",28.12,28.13,28.125,0.00707106781186407,2
"MU035_133","GAPDH",18.47,18.48,18.475,0.00707106781186658,2
"MU035_133","OLIG2",27.04,27.23,27.135,0.134350288425445,2
"MU035_133","POU5F1",26.59,28.21,27.4,1.14551298552221,2
"MU035_133","PROM1",23.79,23.71,23.75,0.0565685424949226,2
"MU035_133","SOX2",20.13,20.11,20.12,0.0141421356237306,2
"MU035_133","TUBB3",31.69,32.11,31.9,0.296984848098349,2
"MU035_133","VIM",19.67,19.74,19.705,0.049497474683056,2
"MU035_44","CD44",25.77,25.87,25.82,0.0707106781186558,2
"MU035_44","GAPDH",17.99,18.06,18.025,0.0494974746830585,2
"MU035_44","OLIG2",28.67,28.66,28.665,0.00707106781186658,2
"MU035_44","POU5F1",27.76,27.29,27.525,0.332340187157679,2
"MU035_44","PROM1",28.28,28.82,28.55,0.381837661840735,2
"MU035_44","SOX2",20.11,20.08,20.095,0.0212132034355972,2
"MU035_44","TUBB3",30.21,30.15,30.18,0.0424264068711945,2
"MU035_44","VIM",17.68,17.72,17.7,0.0282842712474613,2
"MU035_DN","CD44",28.19,28.11,28.15,0.0565685424949251,2
"MU035_DN","GAPDH",18.93,18.9,18.915,0.0212132034355972,2
"MU035_DN","OLIG2",28.32,28.78,28.55,0.325269119345812,2
"MU035_DN","POU5F1",28.03,27.29,27.66,0.523259018078047,2
"MU035_DN","PROM1",26.13,26.08,26.105,0.0353553390593279,2
"MU035_DN","SOX2",20.94,20.85,20.895,0.0636396103067892,2
"MU035_DN","TUBB3",32.41,32.28,32.345,0.091923881554248,2
"MU035_DN","VIM",19.44,19.48,19.46,0.0282842712474613,2
"MU035_DP","CD44",25.78,25.69,25.735,0.0636396103067892,2
"MU035_DP","GAPDH",17.67,17.62,17.645,0.0353553390593279,2
"MU035_DP","OLIG2",27.57,27.73,27.65,0.113137084989848,2
"MU035_DP","POU5F1",NA,26.53,26.53,NA,2
"MU035_DP","PROM1",24.67,24.68,24.675,0.00707106781186407,2
"MU035_DP","SOX2",19.45,19.6,19.525,0.106066017177984,2
"MU035_DP","TUBB3",30.72,30.26,30.49,0.32526911934581,2
"MU035_DP","VIM",17.68,NA,17.68,NA,1
"MU039_neg","BIIITUB",33.34,32.52,32.93,0.579827560572969,2
"MU039_neg","GAPDH",18.87,18.97,18.92,0.0707106781186532,2
"MU039_neg","GFAP",30.7,30.97,30.835,0.190918830920368,2
"MU039_neg","NES",27.48,27.87,27.675,0.275771644662754,2
"MU039_neg","OLIG2",34.33,34.69,34.51,0.254558441227157,2
"MU039_neg","POU5F1",25.98,26.53,26.255,0.388908729652602,2
