"PDGC","Subpopulation","cDNA","Gene","rep1","rep2","meanCp","sdCp","reps","ddCT","foldChange"
"H9","NSC","H9_NSC","BIIITUB",32.26,33.18,32.72,0.650538238691625,2,-0.639999999999993,0.641712948781455
"H9","NSC","H9_NSC","GAPDH",18.05,18.09,18.07,0.0282842712474613,2,0.850000000000001,1.80250092522166
"H9","NSC","H9_NSC","GFAP",32.92,33.01,32.965,0.0636396103067867,2,-0.680000000000007,0.624165274450803
"H9","NSC","H9_NSC","NES",28.04,28.09,28.065,0.0353553390593279,2,-2.7,0.153893051668115
"H9","NSC","H9_NSC","OLIG2",40,40,40,0,2,-4.805,0.0357726300187088
"H9","NSC","H9_NSC","POU5F1",24.77,24.43,24.6,0.240416305603426,2,-0.280000000000001,0.823591017267572
"H9","NSC","H9_NSC","PROM1",25.21,24.92,25.065,0.205060966544098,2,4.955,31.0172741419221
"H9","NSC","H9_NSC","SOX2",24.26,24.42,24.34,0.113137084989848,2,0.454999999999995,1.3707828049797
"MU020","133","MU020_133","CD44",23.47,23.49,23.48,0.0141421356237306,2,-1.52,0.348685916587601
"MU020","133","MU020_133","GAPDH",17.73,17.71,17.72,0.0141421356237306,2,7.135,140.555880164743
"MU020","133","MU020_133","OLIG2",31.14,31.14,31.14,0,2,2.57,5.9380942825162
"MU020","133","MU020_133","PROM1",30.21,NA,30.21,NA,2,-0.0650000000000048,0.955945317593739
"MU020","44","MU020_44","CD44",28.82,28.77,28.795,0.0353553390593279,2,-6.835,0.0087591099845977
"MU020","44","MU020_44","GAPDH",24.77,24.94,24.855,0.120208152801714,2,0,1
"MU020","44","MU020_44","OLIG2",32.92,32.01,32.465,0.643467170879761,2,1.245,2.37018554188316
"MU020","44","MU020_44","PROM1",21.84,21.82,21.83,0.0141421356237306,2,8.315,318.466983244408
"MU020","DN","MU020_DN","CD44",23.88,23.91,23.895,0.0212132034355972,2,-1.935,0.261521234948132
"MU020","DN","MU020_DN","GAPDH",19.66,19.65,19.655,0.00707106781186658,2,5.2,36.7583473599051
"MU020","DN","MU020_DN","OLIG2",33.74,33.68,33.71,0.0424264068711945,2,0,1
"MU020","DN","MU020_DN","PROM1",23.75,NA,23.75,NA,2,6.395,84.1563366531243
"MU020","DP","MU020_DP","CD44",28.78,29.55,29.165,0.544472221513641,2,-7.205,0.00677764599337552
"MU020","DP","MU020_DP","GAPDH",25.97,26.13,26.05,0.113137084989848,2,-1.195,0.436786447958348
"MU020","DP","MU020_DP","OLIG2",40,40,40,0,2,-6.29,0.0127797196649653
"MU020","DP","MU020_DP","PROM1",25.76,25.74,25.75,0.0141421356237332,2,4.395,21.0390841632811
"MU035","133","MU035_133","CD44",28.12,28.13,28.125,0.00707106781186407,2,-0.414999999999999,0.75001949464291
"MU035","133","MU035_133","GAPDH",18.47,18.48,18.475,0.00707106781186658,2,-0.450000000000003,0.732042847972811
"MU035","133","MU035_133","OLIG2",27.04,27.23,27.135,0.134350288425445,2,1.415,2.6665973541824
"MU035","133","MU035_133","POU5F1",26.59,28.21,27.4,1.14551298552221,2,-1.00999999999999,0.49654624771852
"MU035","133","MU035_133","PROM1",23.79,23.71,23.75,0.0565685424949226,2,1.915,3.77113814367296
"MU035","133","MU035_133","SOX2",20.13,20.11,20.12,0.0141421356237306,2,-0.114999999999995,0.923382310729398
"MU035","133","MU035_133","TUBB3",31.69,32.11,31.9,0.296984848098349,2,0.445,1.36131411649947
"MU035","133","MU035_133","VIM",19.67,19.74,19.705,0.049497474683056,2,-1.51499999999999,0.349896466398801
"MU035","44","MU035_44","CD44",25.77,25.87,25.82,0.0707106781186558,2,1.89,3.70635224756148
"MU035","44","MU035_44","GAPDH",17.99,18.06,18.025,0.0494974746830585,2,0,1
"MU035","44","MU035_44","OLIG2",28.67,28.66,28.665,0.00707106781186658,2,-0.114999999999998,0.923382310729396
"MU035","44","MU035_44","POU5F1",27.76,27.29,27.525,0.332340187157679,2,-1.13499999999999,0.455334916795991
"MU035","44","MU035_44","PROM1",28.28,28.82,28.55,0.381837661840735,2,-2.885,0.13537188069074
"MU035","44","MU035_44","SOX2",20.11,20.08,20.095,0.0212132034355972,2,-0.0899999999999963,0.939522749214014
"MU035","44","MU035_44","TUBB3",30.21,30.15,30.18,0.0424264068711945,2,2.165,4.48466431211403
"MU035","44","MU035_44","VIM",17.68,17.72,17.7,0.0282842712474613,2,0.490000000000006,1.404444875738
"MU035","DN","MU035_DN","CD44",28.19,28.11,28.15,0.0565685424949251,2,-0.439999999999998,0.737134608645552
"MU035","DN","MU035_DN","GAPDH",18.93,18.9,18.915,0.0212132034355972,2,-0.890000000000001,0.539614118252213
"MU035","DN","MU035_DN","OLIG2",28.32,28.78,28.55,0.325269119345812,2,0,1
"MU035","DN","MU035_DN","POU5F1",28.03,27.29,27.66,0.523259018078047,2,-1.27,0.414659772907222
"MU035","DN","MU035_DN","PROM1",26.13,26.08,26.105,0.0353553390593279,2,-0.439999999999998,0.737134608645552
"MU035","DN","MU035_DN","SOX2",20.94,20.85,20.895,0.0636396103067892,2,-0.890000000000001,0.539614118252213
"MU035","DN","MU035_DN","TUBB3",32.41,32.28,32.345,0.091923881554248,2,0,1
"MU035","DN","MU035_DN","VIM",19.44,19.48,19.46,0.0282842712474613,2,-1.27,0.414659772907222
"MU035","DP","MU035_DP","CD44",25.78,25.69,25.735,0.0636396103067892,2,1.975,3.93128239418101
"MU035","DP","MU035_DP","GAPDH",17.67,17.62,17.645,0.0353553390593279,2,0.379999999999995,1.30134185544193
"MU035","DP","MU035_DP","OLIG2",27.57,27.73,27.65,0.113137084989848,2,0.900000000000002,1.86606598307362
"MU035","DP","MU035_DP","POU5F1",NA,26.53,26.53,NA,2,-0.139999999999997,0.907519155317163
"MU035","DP","MU035_DP","PROM1",24.67,24.68,24.675,0.00707106781186407,2,0.989999999999998,1.98618499087407
"MU035","DP","MU035_DP","SOX2",19.45,19.6,19.525,0.106066017177984,2,0.480000000000004,1.39474366635041
"MU035","DP","MU035_DP","TUBB3",30.72,30.26,30.49,0.32526911934581,2,1.855,3.61751751024434
"MU035","DP","MU035_DP","VIM",17.68,NA,17.68,NA,1,0.510000000000005,1.42405019559708
"MU039","neg","MU039_neg","BIIITUB",33.34,32.52,32.93,0.579827560572969,2,-0.850000000000001,0.554784736033922
"MU039","neg","MU039_neg","GAPDH",18.87,18.97,18.92,0.0707106781186532,2,0,1
"MU039","neg","MU039_neg","GFAP",30.7,30.97,30.835,0.190918830920368,2,1.45,2.73208051350878
"MU039","neg","MU039_neg","NES",27.48,27.87,27.675,0.275771644662754,2,-2.31,0.201660439805531
"MU039","neg","MU039_neg","OLIG2",34.33,34.69,34.51,0.254558441227157,2,0.684999999999999,1.6077019814863
"MU039","neg","MU039_neg","POU5F1",25.98,26.53,26.255,0.388908729652602,2,-1.935,0.261521234948132
"MU039","neg","MU039_neg","PROM1",27.85,27.74,27.795,0.0777817459305223,2,2.225,4.67510899424499
"MU039","neg","MU039_neg","SOX2",25.02,25.04,25.03,0.0141421356237306,2,-0.235000000000003,0.849684999138648
"MU039","pos","MU039_pos","BIIITUB",36.03,34.51,35.27,1.07480230740355,2,-3.18999999999999,0.109575715164505
"MU039","pos","MU039_pos","GAPDH",20.31,20.43,20.37,0.0848528137423864,2,-1.45,0.366021423986407
"MU039","pos","MU039_pos","GFAP",30.07,30.56,30.315,0.346482322781407,2,1.97,3.9176811903477
