Sample,PDGC,Subpopulation,CD44_Freq,DP_Freq,CD133_Freq,DN_Freq,CD44_Count,DP_Count,CD133_Count,DN_Count
150810_reanalysis_MU035_iso.fcs,MU035,iso,0.33,0.041,0.33,99.3,16,2,16,4859
150810_reanalysis_MU035_mix.fcs,MU035,mixed,6.92,9.17,47.3,36.7,328,435,2241,1738
150810_reanalysis_MU035_DN.fcs,MU035,doubleNeg,19.5,7.69,23.1,49.8,81,32,96,207
150810_reanalysis_MU035_44.fcs,MU035,CD44,23.1,9.81,20.1,47,426,181,370,868
150810_reanalysis_MU035_133.fcs,MU035,CD133,3.68,5.83,79.1,11.3,12,19,258,37
150810_reanalysis_MU035_DP.fcs,MU035,doublePos,11.5,41.8,34.9,11.7,199,723,604,203
150810_reanalysis_MU020_iso.fcs,MU020,iso,0.81,0.035,0.58,98.6,46,2,33,5577
150810_reanalysis_MU020_mix.fcs,MU020,mixed,22,3.63,17.1,57.3,1190,196,921,3094
150810_reanalysis_MU020_DN.fcs,MU020,doubleNeg,18,0.69,17.1,64.2,104,4,99,371
150810_reanalysis_MU020_44.fcs,MU020,CD44,96.3,0.38,0.38,2.9,763,3,3,23
150810_reanalysis_MU020_133.fcs,MU020,CD133,13.9,4.3,18.6,63.2,81,25,108,368
150810_reanalysis_MU020_DP.fcs,MU020,doublePos,84.8,2.53,1.04,11.7,1308,39,16,180
150810_reanalysis_MU039_iso.fcs,MU039,iso,0.65,0.05,0.27,99,77,6,32,11791
150810_reanalysis_MU039_mix.fcs,MU039,mixed,39.5,4.39,5.5,50.7,4596,511,641,5902
150810_reanalysis_MU039_DN.fcs,MU039,doubleNeg,42.6,0.57,4.73,52.1,225,3,25,275
150810_reanalysis_MU039_44.fcs,MU039,CD44,82.3,0.3,0.3,17.1,813,3,3,169
150810_reanalysis_MU039_133.fcs,MU039,CD133,4.93,0.7,27.1,67.3,14,2,77,191
150810_reanalysis_MU039_DP.fcs,MU039,doublePos,61.5,2.47,8.83,27.2,348,14,50,154
