Sample	"notDebris/single1/single2/alive/Q1: APC-A„,, FITC-A+,Freq. of Parent"	"notDebris/single1/single2/alive/Q2: APC-A+,, FITC-A+,Freq. of Parent"	"notDebris/single1/single2/alive/Q3: APC-A+,, FITC-A„,Freq. of Parent"	"notDebris/single1/single2/alive/Q4: APC-A„,, FITC-A„,Freq. of Parent"	"notDebris/single1/single2/alive/Q1: APC-A„,, FITC-A+,Count"	"notDebris/single1/single2/alive/Q2: APC-A+,, FITC-A+,Count"	"notDebris/single1/single2/alive/Q3: APC-A+,, FITC-A„,Count"	"notDebris/single1/single2/alive/Q4: APC-A„,, FITC-A„,Count"
1: 150810_reanalysis_MU035_iso.fcs	0.33	0.041	0.33	99.3	16	2	16	4859
2: 150810_reanalysis_MU035_mix.fcs	6.92	9.17	47.3	36.7	328	435	2241	1738
3: 150810_reanalysis_MU035_DN.fcs	19.5	7.69	23.1	49.8	81	32	96	207
4: 150810_reanalysis_MU035_44.fcs	23.1	9.81	20.1	47	426	181	370	868
5: 150810_reanalysis_MU035_133.fcs	3.68	5.83	79.1	11.3	12	19	258	37
6: 150810_reanalysis_MU035_DP.fcs	11.5	41.8	34.9	11.7	199	723	604	203
7: 150810_reanalysis_MU020_iso.fcs	0.81	0.035	0.58	98.6	46	2	33	5577
8: 150810_reanalysis_MU020_mix.fcs	22	3.63	17.1	57.3	1190	196	921	3094
9: 150810_reanalysis_MU020_DN.fcs	18	0.69	17.1	64.2	104	4	99	371
10: 150810_reanalysis_MU020_44.fcs	96.3	0.38	0.38	2.9	763	3	3	23
11: 150810_reanalysis_MU020_133.fcs	13.9	4.3	18.6	63.2	81	25	108	368
12: 150810_reanalysis_MU020_DP.fcs	84.8	2.53	1.04	11.7	1308	39	16	180
13: 150810_reanalysis_MU039_iso.fcs	0.65	0.05	0.27	99	77	6	32	11791
14: 150810_reanalysis_MU039_mix.fcs	39.5	4.39	5.5	50.7	4596	511	641	5902
15: 150810_reanalysis_MU039_DN.fcs	42.6	0.57	4.73	52.1	225	3	25	275
16: 150810_reanalysis_MU039_44.fcs	82.3	0.3	0.3	17.1	813	3	3	169
17: 150810_reanalysis_MU039_133.fcs	4.93	0.7	27.1	67.3	14	2	77	191
18: 150810_reanalysis_MU039_DP.fcs	61.5	2.47	8.83	27.2	348	14	50	154
