Sample,Date,PDGC,Subpopulation,CD44_Freq,DP_Freq,CD133_Freq,DN_Freq
150810_reanalysis_MU035_iso.fcs,150310,MU035,iso,0.33,0.041,0.33,99.3
150810_reanalysis_MU035_mix.fcs,150310,MU035,mixed,6.92,9.17,47.3,36.7
150810_reanalysis_MU035_DN.fcs,150310,MU035,doubleNeg,19.5,7.69,23.1,49.8
150810_reanalysis_MU035_44.fcs,150310,MU035,CD44,23.1,9.81,20.1,47
150810_reanalysis_MU035_133.fcs,150310,MU035,CD133,3.68,5.83,79.1,11.3
150810_reanalysis_MU035_DP.fcs,150310,MU035,doublePos,11.5,41.8,34.9,11.7
150810_reanalysis_MU020_iso.fcs,150310,MU020,iso,0.81,0.035,0.58,98.6
150810_reanalysis_MU020_mix.fcs,150310,MU020,mixed,22,3.63,17.1,57.3
150810_reanalysis_MU020_DN.fcs,150310,MU020,doubleNeg,18,0.69,17.1,64.2
150810_reanalysis_MU020_44.fcs,150310,MU020,CD44,96.3,0.38,0.38,2.9
150810_reanalysis_MU020_133.fcs,150310,MU020,CD133,13.9,4.3,18.6,63.2
150810_reanalysis_MU020_DP.fcs,150310,MU020,doublePos,84.8,2.53,1.04,11.7
150810_reanalysis_MU039_iso.fcs,150310,MU039,iso,0.65,0.05,0.27,99
150810_reanalysis_MU039_mix.fcs,150310,MU039,mixed,39.5,4.39,5.5,50.7
150810_reanalysis_MU039_DN.fcs,150310,MU039,doubleNeg,42.6,0.57,4.73,52.1
150810_reanalysis_MU039_44.fcs,150310,MU039,CD44,82.3,0.3,0.3,17.1
150810_reanalysis_MU039_133.fcs,150310,MU039,CD133,4.93,0.7,27.1,67.3
150810_reanalysis_MU039_DP.fcs,150310,MU039,doublePos,61.5,2.47,8.83,27.2
061114_stain_035.fcs,141106,MU035,mixed,33.3,3.23,8.36,55.1
061114_stain_039.fcs,141106,MU039,mixed,82.1,0.28,0,17.6
061114_stain_041.fcs,141106,MU041,mixed,2.02,0.52,4.82,92.6
061114_035_DN.fcs,141106,MU035,doubleNeg,12.7,13.7,20.2,53.4
061114_035_cd44.fcs,141106,MU035,CD44,65.1,22.2,0.64,12.1
061114_035_cd133.fcs,141106,MU035,CD133,7.51,28.2,31.3,33
061114_035_DP.fcs,141106,MU035,doublePos,38.3,51.5,2.2,8.01
061114_039_DN.fcs,141106,MU039,doubleNeg,67.4,2.06,0.59,30
061114_039_CD44.fcs,141106,MU039,CD44,94.9,2.72,0,2.38
061114_041_DN.fcs,141106,MU041,doubleNeg,4.36,2.07,5.81,87.8
061114_041_CD44.fcs,141106,MU041,CD44,19.6,8.78,5.53,66.1
061114_041_CD133.fcs,141106,MU041,CD133,2.03,2.52,18,77.4
061114_041_DP.fcs,141106,MU041,doublePos,7.71,13.5,19.1,59.7
