Sample	PDGC	Treatment	CD44-/CD133-	CD44+/CD133-	CD44-/CD133+	CD44+/CD133+
150302_stupp_MU004_dmso.fcs	MU004	dmso	8.37	0.063	89.8	1.79
150302_stupp_MU004_tmz.fcs	MU004	tmz	25	1.96	55.4	17.7
150302_stupp_MU004_rad.fcs	MU004	rad	15	4.63	47.1	33.3
150302_stupp_MU004_stupp.fcs	MU004	stupp	18.8	8.3	27.9	45
150302_stupp_MU020_dmso.fcs	MU020	dmso	24.6	18.5	34.7	22.2
150302_stupp_MU020_tmz.fcs	MU020	tmz	21	27.5	22.9	28.6
150302_stupp_MU020_rad.fcs	MU020	rad	32.1	23.9	23.2	20.8
150302_stupp_MU020_stupp.fcs	MU020	stupp	15.7	15.7	26.1	42.6
150302_stupp_MU035_dmso.fcs	MU035	dmso	4.56	41.8	12.8	40.8
150302_stupp_MU035_tmz.fcs	MU035	tmz	4.04	45.8	8.73	41.4
150302_stupp_MU035_rad.fcs	MU035	rad	3.45	62.7	2.07	31.8
150302_stupp_MU035_stupp.fcs	MU035	stupp	3.56	67.9	1.19	27.3
150302_stupp_MU039_dmso.fcs	MU039	dmso	8.65	80.4	8.53	2.45
150302_stupp_MU039_tmz.fcs	MU039	tmz	7.29	81.9	5.72	5.09
150302_stupp_MU039_rad.fcs	MU039	rad	7.52	89.1	1.46	1.9
150302_stupp_MU039_stupp.fcs	MU039	stupp	5.08	89.4	1.76	3.78
