Num,Coordinate_384w,Coordinate_96w,Identity,Number,Plate,Conc x Dil
29,M2,G1,EMPTY,0 cell,2,0.67
364,L23,F12,EMPTY,0 cell,3,0.51
18,B2,A1,,0 cell,4,0.5
20,D2,B1,,0 cell,4,0.52
22,F2,C1,,0 cell,4,0.51
24,H2,D1,,0 cell,4,0.55
26,J2,E1,,0 cell,4,0.63
28,L2,F1,,0 cell,4,0.55
30,N2,G1,,0 cell,4,0.56
32,P2,H1,,0 cell,4,0.55
50,B4,A2,,0 cell,4,0.49
52,D4,B2,,0 cell,4,0.52
54,F4,C2,,0 cell,4,0.52
56,H4,D2,,0 cell,4,0.54
58,J4,E2,,0 cell,4,0.62
60,L4,F2,,0 cell,4,0.55
62,N4,G2,,0 cell,4,0.55
64,P4,H2,,0 cell,4,0.56
82,B6,A3,,0 cell,4,0.49
84,D6,B3,,0 cell,4,0.53
86,F6,C3,,0 cell,4,0.48
88,H6,D3,,0 cell,4,0.53
90,J6,E3,,0 cell,4,0.64
92,L6,F3,,0 cell,4,0.54
94,N6,G3,,0 cell,4,0.55
96,P6,H3,,0 cell,4,0.55
114,B8,A4,,0 cell,4,0.48
116,D8,B4,,0 cell,4,0.54
118,F8,C4,,0 cell,4,0.47
120,H8,D4,,0 cell,4,0.54
122,J8,E4,,0 cell,4,0.63
124,L8,F4,,0 cell,4,0.54
126,N8,G4,,0 cell,4,0.55
128,P8,H4,,0 cell,4,0.55
146,B10,A5,,0 cell,4,0.49
148,D10,B5,,0 cell,4,0.53
150,F10,C5,,0 cell,4,0.51
152,H10,D5,,0 cell,4,0.49
154,J10,E5,,0 cell,4,0.64
156,L10,F5,,0 cell,4,0.55
158,N10,G5,,0 cell,4,0.56
160,P10,H5,,0 cell,4,0.56
178,B12,A6,,0 cell,4,0.46
180,D12,B6,,0 cell,4,0.54
182,F12,C6,,0 cell,4,0.52
184,H12,D6,,0 cell,4,0.49
186,J12,E6,,0 cell,4,0.6
188,L12,F6,,0 cell,4,0.54
190,N12,G6,,0 cell,4,0.55
192,P12,H6,,0 cell,4,0.56
210,B14,A7,,0 cell,4,0.58
212,D14,B7,,0 cell,4,0.54
214,F14,C7,,0 cell,4,0.51
216,H14,D7,,0 cell,4,0.44
218,J14,E7,,0 cell,4,0.61
220,L14,F7,,0 cell,4,0.55
222,N14,G7,,0 cell,4,0.56
224,P14,H7,,0 cell,4,0.56
242,B16,A8,,0 cell,4,0.47
244,D16,B8,,0 cell,4,0.55
246,F16,C8,,0 cell,4,0.47
248,H16,D8,,0 cell,4,0.44
250,J16,E8,,0 cell,4,0.65
252,L16,F8,,0 cell,4,0.55
254,N16,G8,,0 cell,4,0.55
256,P16,H8,,0 cell,4,0.56
274,B18,A9,,0 cell,4,0.49
276,D18,B9,,0 cell,4,0.56
278,F18,C9,,0 cell,4,0.55
280,H18,D9,,0 cell,4,0.44
282,J18,E9,,0 cell,4,0.77
284,L18,F9,,0 cell,4,0.56
286,N18,G9,,0 cell,4,0.56
288,P18,H9,,0 cell,4,0.56
306,B20,A10,,0 cell,4,0.48
308,D20,B10,,0 cell,4,0.55
310,F20,C10,,0 cell,4,0.53
312,H20,D10,,0 cell,4,0.47
314,J20,E10,,0 cell,4,1.1
316,L20,F10,,0 cell,4,0.56
318,N20,G10,,0 cell,4,0.55
320,P20,H10,,0 cell,4,0.56
338,B22,A11,,0 cell,4,0.47
340,D22,B11,,0 cell,4,0.55
342,F22,C11,,0 cell,4,0.54
344,H22,D11,,0 cell,4,0.52
346,J22,E11,,0 cell,4,1.59
348,L22,F11,,0 cell,4,0.56
350,N22,G11,,0 cell,4,0.56
352,P22,H11,,0 cell,4,0.56
370,B24,A12,,0 cell,4,NA
372,D24,B12,,0 cell,4,NA
374,F24,C12,,0 cell,4,NA
376,H24,D12,,0 cell,4,NA
378,J24,E12,,0 cell,4,NA
380,L24,F12,,0 cell,4,NA
382,N24,G12,,0 cell,4,NA
384,P24,H12,,0 cell,4,NA
3,C1,B1,JT_TM_5,1 cell,1,0.76
7,G1,D1,JT_RG_1,1 cell,1,0.67
11,K1,F1,JT_TM_6,1 cell,1,0.68
15,O1,H1,JT_RG_2,1 cell,1,0.67
35,C3,B2,JT_TM_5,1 cell,1,0.68
39,G3,D2,JT_RG_1,1 cell,1,0.66
43,K3,F2,JT_TM_6,1 cell,1,0.68
45,M3,G2,JT_RG_2,1 cell,1,0.73
47,O3,H2,JT_RG_2,1 cell,1,0.66
67,C5,B3,JT_TM_5,1 cell,1,0.69
69,E5,C3,JT_RG_1,1 cell,1,0.67
71,G5,D3,JT_RG_1,1 cell,1,0.69
73,I5,E3,JT_TM_6,1 cell,1,0.72
75,K5,F3,JT_TM_6,1 cell,1,0.69
77,M5,G3,JT_RG_2,1 cell,1,0.68
79,O5,H3,JT_RG_2,1 cell,1,0.68
97,A7,A4,JT_TM_5,1 cell,1,0.68
99,C7,B4,JT_TM_5,1 cell,1,0.7
101,E7,C4,JT_RG_1,1 cell,1,0.67
103,G7,D4,JT_RG_1,1 cell,1,0.67
105,I7,E4,JT_TM_6,1 cell,1,0.68
107,K7,F4,JT_TM_6,1 cell,1,0.68
109,M7,G4,JT_RG_2,1 cell,1,0.67
111,O7,H4,JT_RG_2,1 cell,1,0.65
129,A9,A5,JT_TM_5,1 cell,1,0.67
131,C9,B5,JT_TM_5,1 cell,1,0.68
