well,variable,value,ercc
A01,C151,7.59991284218713,9.97441458980553
A01,C152,13.6430670001105,9.62021982550749
A01,P215,16.6771552904254,10.5028318040667
A01,S020,4.52356195605701,9.55650605467193
A01,S022,19.9863253775855,8.57364718749332
A01,S024,12.195679785496,9.16741814583174
A01,S025,16.3197426735568,9.71080643369935
A01,S026,11.1922928144708,9.34872815423108
A01,S027,3,9.14974711950468
A01,S029,16.4049752138085,9.29001884693262
A01,S030,17.3795222097013,8.92184093707449
A01,S031,15.6930240621469,9.95128471496697
A01,S032,7.75488750216347,10.3553510964248
A01,S033,9.44294349584873,9.57175264350355
A01,S034,7.07681559705083,9.5274770060604
A01,S035,4.24792751344359,8.76487159073609
A01,S036,16.5621827877768,1
A01,S037,11.2772874001304,9.46352437327118
A01,S038,7.74819284958946,0
A01,S039,17.0003741857186,10.0014081943928
A02,C151,7.96000193206808,8.82654848729091
A02,C152,15.6844199009334,2.8073549220576
A02,P215,10.5745935273376,0
A02,S020,4.52356195605701,1
A02,S022,19.4400459024842,8.37937836707126
A02,S024,8.17990909001493,9.27844945822048
A02,S025,12.9057630496028,9.02790599656988
A02,S026,4.58496250072116,9.03066713624694
A02,S027,9.35755200461808,9.4178525148859
A02,S029,10.9053870050181,1
A02,S030,9.49585502688717,8.43879185257826
A02,S031,8.60362634498619,9.39446269461032
A02,S032,7.35755200461808,9.14210705730255
A02,S033,11.9769220678511,9.39016895620018
A02,S034,6.7279204545632,9.57364718749332
A02,S035,3.58496250072116,8.68999797141945
A02,S036,17.3267454634056,9.4898479604393
A02,S037,11.6746336617673,9.23840473932508
A02,S038,14.0423433797937,1
A02,S039,10.2900188469326,8.96866679319521
A03,C151,14.720564916568,9.87190523765919
A03,C152,16.3771088330749,9.25029841790633
A03,P215,9.58308276750293,9.3264294871223
A03,S020,3.32192809488736,5.8073549220576
A03,S022,6.55458885167764,8.79766152585376
A03,S024,3.58496250072116,9.27844945822048
A03,S025,16.7044440503704,0
A03,S026,11.7159619902551,9.43462822763673
A03,S027,9.27844945822048,9.38586240064146
A03,S029,7.48381577726426,9.7176764230664
A03,S030,6.89481776330794,10.0014081943928
A03,S031,5.24792751344359,9.94836723158468
A03,S032,9.82813648419411,9.56414948998573
A03,S033,11.911017407797,9.89481776330794
A03,S034,7.31288295528436,0
A03,S035,8.24792751344359,10.0265234425198
A03,S036,16.7183188104793,4
A03,S037,10.8454900509444,9.90086680798075
A03,S038,8.85486838326024,9.41151098801207
A03,S039,12.8405812505608,9.57175264350355
A04,C151,7.8073549220576,9.72109918870719
A04,C152,15.4495678225708,9.53138146051631
A04,P215,16.0906500211935,9.49185309632967
A04,S020,2,9.32418054661874
A04,S022,9.04712391211403,8.94251450533924
A04,S024,4.08746284125034,9.75822321472672
A04,S025,15.8036014113346,9.73131903102506
A04,S026,9.00562454919388,3.70043971814109
A04,S027,9.85486838326024,8.98013957763916
A04,S029,9.61102479730735,9.84392105128904
A04,S030,16.4602959008519,9.5352753766208
A04,S031,12.644982855229,9.33091687811462
A04,S032,7.08746284125034,9.26209484537018
A04,S033,11.2957689344205,9.63299519714296
A04,S034,14.378362599205,9.85642552862553
A04,S035,4.70043971814109,9.70735913208088
